epoch,train_loss,val_loss,epoch_sec,throughput_samples_per_sec
1,8.158588439581816,2.989120790187894,17.263958506286144,149161.85063016383
2,2.714714302829322,2.6379980808233583,17.03934360668063,151128.12203577894
3,2.5906383823843564,2.594897661645028,16.781243477016687,153452.5140241751
4,2.565778622365894,2.576065744317429,16.93073644861579,152097.57755165666
5,2.5513143673347765,2.5642937174279306,16.67483877390623,154431.71804633611
6,2.540331006160286,2.5530566749251546,16.888536237180233,152477.6312070697
7,2.5317462148886527,2.54636695710391,17.252268441021442,149262.92207910583
8,2.525351580323422,2.545968459579786,16.245210200548172,158515.89288226666
9,2.519918813444591,2.5327120250802855,16.36853975057602,157321.54726321143
10,2.5157853644464976,2.5265825632580206,17.39195365086198,148064.1020379198
