epoch,train_loss,val_loss,epoch_sec,throughput_samples_per_sec
1,20.195108808346287,7.709035668856,6.0691838171333075,398874.55594374315
2,3.777930947169712,2.473089827941866,4.715741394087672,513353.6378892861
3,2.624914900468773,2.343844189692592,5.071575305424631,477335.51297377585
4,2.081923618284339,1.3423200397160666,4.68036428373307,517233.8846388106
5,1.6282291497599841,1.2518687429277473,4.9126213220879436,492780.298191415
6,1.5701164418944062,1.2336710084662343,4.7793909907341,506517.04468065826
7,1.535002645819581,1.241970429681853,4.8325319569557905,500947.12700565107
8,1.5158312536849539,1.2000289366244532,4.849163284525275,499229.0129155748
9,1.4972390390133155,1.2533636784103124,4.54039812553674,533178.5744479889
10,1.4825617969942049,1.20249560723256,4.792145689949393,505168.9069214348
11,1.4686262465698823,1.2267463287209976,4.436537611298263,545660.4253359613
12,1.4605532060811612,1.1970692735148052,4.825046860612929,501724.24640296213
13,1.4463964785536954,1.1767668236295075,4.629081371240318,522964.0193927631
14,1.4373482350753022,1.1779464681512544,4.525841928087175,534893.4051311769
15,1.4267018715302298,1.203350137615765,5.000004667788744,484168.1480010737
16,1.416784924559007,1.16956886715031,5.073824882507324,477123.87716536556
17,1.4075145325575453,1.1607957860640086,5.0224619107320905,482003.25717296085
18,1.3960976861814975,1.1734681286875328,4.738277213647962,510912.0658932938
19,1.3896554647892885,1.1806724213712094,5.105872005224228,474129.19821002975
20,1.3811906567236267,1.1444813132101481,5.244486715644598,461597.69892799796
21,1.3729256484305263,1.1517197716232423,4.7098867278546095,513991.7666560769
22,1.3641770410799732,1.1658728076710942,4.6007128562778234,526188.6745869567
23,1.3599314531785214,1.2072475345927003,5.048817400820553,479487.13685041474
24,1.3534621750864226,1.1379254781487336,4.811545734293759,503132.0772336652
25,1.3476167315401126,1.1265165737960758,4.532682448625565,534086.168055754
26,1.340323393589113,1.1545783701530734,4.807481985539198,503557.37312835356
27,1.3369417619325794,1.126746594865243,4.859787099994719,498137.66533160076
28,1.3317568654918739,1.1522916845730415,4.993975563906133,484752.67229911947
29,1.3266335963262046,1.1205669227861774,4.5331756910309196,534028.055605641
30,1.3226314663881262,1.1349208903039487,4.771469488739967,507357.95454898477
31,1.3158974280464042,1.1176620587581967,4.763752919621766,508179.79875249515
32,1.3119669898271509,1.1205399942161793,4.702946027740836,514750.3258001252
33,1.309328497054915,1.140500480702655,4.794703172519803,504899.45110152726
34,1.3046626994845907,1.1276938958151785,4.591014082543552,527300.2775584571
35,1.2999460920313275,1.116638205442018,4.604035018011928,525808.9894036788
36,1.2964213773076034,1.1108151068145478,4.800375328399241,504302.8585032053
37,1.291956609731894,1.1032069602519154,4.981724434532225,485944.78313959826
38,1.2872299709921926,1.1093931320467465,4.857658150605857,498355.98243941215
39,1.2836317430180608,1.0996305836505955,4.566463214345276,530135.2242135804
40,1.2791999211361884,1.0982525994069585,4.755677017383277,509042.76954704203
41,1.275722154684344,1.1000407166804422,5.016577687114477,482568.62566250074
42,1.2695129324863796,1.099236156069926,4.721823045983911,512692.44451229885
43,1.2664735642156928,1.0936449529069538,4.507392659783363,537082.7843776876
44,1.2617417896737109,1.0828392380640284,4.933751023374498,490669.8754215278
45,1.2560342113272234,1.0846812141240658,4.685143930837512,516706.2177249381
46,1.2531892127221447,1.0731402480591188,4.626195976510644,523290.1961550591
47,1.246518448158629,1.0813142963222173,4.664039788767695,519044.2426820764
48,1.2441214017068736,1.0636896818405557,4.925514652393758,491490.3661536142
49,1.2392228336085271,1.0593268251374766,4.950006457976997,489058.5538729513
50,1.2351552873484204,1.0543362517370163,4.954886632971466,488576.86952732777
